Référence;Semaine;Client;Besoin;Dispo_TIS;PDP;DISPO_IDL;SS;LeadTime_Semaine;CA_unitaire
SEL2071860A01LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SEL2070871LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SEL2071600A01LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SEL9651539LF;WK49;#N/A;0;0;0;0;100;2;
SEL336188LF;WK49;SCH MIC-PX30;0;0;0;0;100;2;
SEL2071010LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SEL9650668LF;WK49;SCH MIC-PX30;0;0;0;0;100;2;
SEL9651491LF;WK49;SCH MIC-PX30;0;0;0;0;100;2;
ARE9651512LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SELZN0125002LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL2071960A23LF;WK49;SCH MIC-PX40;0;0;0;0;200;;
SEL9651514LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651546LF;WK49;SCH MIC-PX30;0;0;24;0;100;;
SELGN0014007LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SELGN0018003LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL9651549LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651360LF;WK49;SCH MIC-PX30;0;0;130;0;100;;
SEL2072036A01LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SELGN0067004LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL9650425LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651362LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651536LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SELGN0014018LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SELGN0067001LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL9651518LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651516LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9652192LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SELZN0044001LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL9650673LF;WK49;SCH MIC-PX30;0;0;80;0;100;;
SEL9652193LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651517LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651306LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651513LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651305LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9650356LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SELGN0014009LF;WK49;SCH MIC-PX40;0;0;4;0;100;;
SEL2072043A04LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SELGN0014013LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL337612LF;WK49;SCH MIC-PX30;0;0;170;0;100;;
SELZN0128011LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL2072043A01LF;WK49;SCH MIC-PX40;0;0;4;0;100;;
SEL9651519LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SELNVE10002;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL2071732LF;WK49;SCH MIC-C264;0;0;0;0;100;;
SELNVE32375;WK49;SCH MIC-PX40;0;0;0;0;100;;
SELGN0018002LF;WK49;SCH MIC-PX40;0;0;4;0;100;;
SEL2071860A02LF;WK49;SCH MIC-C264;0;0;0;0;100;;
SEL9650427LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9650423LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SELGN0014005LF;WK49;SCH MIC-PX40;0;0;36;0;100;;
SELGN0014001LF;WK49;SCH MIC-PX40;0;0;8;0;100;;
SEL2071603A01LF;WK49;SCH MIC-C264;0;0;0;0;100;;
SEL337377LF;WK49;SCH MIC-PX30;0;0;440;0;100;;
SELGN0067005LF;WK49;SCH MIC-PX40;0;0;20;0;100;;
SEL2071941LF;WK49;SCH MIC-C264;0;0;0;0;100;;
SEL9651534LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651443LF;WK49;SCH MIC-PX30;0;0;120;0;100;;
SELNVE32374;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL2071962A01LF;WK49;SCH MIC-PX40;0;0;0;0;300;2;
SEL337870LF;WK49;SCH MIC-PX30;0;0;60;0;100;;
SEL2071964A02LF;WK49;SCH MIC-PX40;0;0;80;0;200;;
SEL2072034A01LF;WK49;SCH MIC-PX40;0;0;56;0;100;;
